"Year","Total","Top 0.1%","Top 1%","Between 1% & 5%","Top 5%","Between 5% and 10%","Top 10%","Between 10% and 25%","Top 25%","Between 25% and 50%","Top 50%","Bottom 50%"
"1981","94,587","","946","3,783","4,729","4,729","9,459","14,188","23,647","23,647","47,293","47,293"
"1982","94,426","","944","3,777","4,721","4,721","9,443","14,164","23,607","23,607","47,213","47,213"
"1983","95,331","","953","3,814","4,767","4,767","9,533","14,300","23,833","23,833","47,665","47,665"
"1984","98,436","","984","3,938","4,922","4,922","9,844","14,765","24,609","24,609","49,218","49,219"
"1985","100,625","","1,006","4,025","5,031","5,031","10,063","15,094","25,156","25,156","50,313","50,313"
"1986","102,088","","1,021","4,083","5,104","5,104","10,209","15,313","25,522","25,522","51,044","51,044"
"1987","106,155","","1,062","4,246","5,308","5,308","10,615","15,923","26,539","26,539","53,077","53,077"
"1988","108,873","","1,089","4,355","5,444","5,444","10,887","16,331","27,218","27,218","54,436","54,436"
"1989","111,313","","1,113","4,453","5,566","5,566","11,131","16,697","27,828","27,828","55,656","55,656"
"1990","112,812","","1,128","4,513","5,641","5,641","11,281","16,922","28,203","28,203","56,406","56,406"
"1991","113,804","","1,138","4,552","5,690","5,690","11,380","17,071","28,451","28,451","56,902","56,902"
"1992","112,653","","1,127","4,506","5,633","5,633","11,265","16,898","28,163","28,163","56,326","56,326"
"1993","113,681","","1,137","4,547","5,684","5,684","11,368","17,052","28,420","28,420","56,841","56,841"
"1994","114,990","","1,150","4,599","5,749","5,749","11,499","17,248","28,747","28,747","57,495","57,495"
"1995","117,274","","1,173","4,691","5,864","5,864","11,727","17,591","29,319","29,319","58,637","58,637"
"1996","119,442","","1,194","4,778","5,972","5,972","11,944","17,916","29,860","29,860","59,721","59,721"
"1997","121,503","","1,215","4,860","6,075","6,075","12,150","18,225","30,376","30,376","60,752","60,752"
"1998","123,776","","1,238","4,951","6,189","6,189","12,378","18,566","30,944","30,944","61,888","61,888"
"1999","126,009","","1,260","5,040","6,300","6,300","12,601","18,901","31,502","31,502","63,004","63,004"
"2000","128,227","","1,282","5,129","6,411","6,411","12,823","19,234","32,057","32,057","64,114","64,114"
"2001","119,371","119","1,194","4,775","5,969","5,969","11,937","17,906","29,843","29,843","59,685","59,685"
"2002","119,851","120","1,199","4,794","5,993","5,993","11,985","17,978","29,963","29,963","59,925","59,925"
"2003","120,759","121","1,208","4,830","6,038","6,038","12,076","18,114","30,190","30,190","60,379","60,379"
"2004","122,510","123","1,225","4,900","6,125","6,125","12,251","18,376","30,627","30,627","61,255","61,255"
"2005","124,673","125","1,247","4,987","6,234","6,234","12,467","18,701","31,168","31,168","62,337","62,337"
"2006","128,441","128","1,284","5,138","6,422","6,422","12,844","19,266","32,110","32,110","64,221","64,221"
"2007","132,655","133","1,327","5,306","6,633","6,633","13,265","19,898","33,164","33,164","66,327","66,327"
"2008","132,892","133","1,329","5,316","6,645","6,645","13,289","19,934","33,223","33,223","66,446","66,446"
"2009","132,620","133","1,326","5,305","6,631","6,631","13,262","19,893","33,155","33,155","66,310","66,310"
"2010","135,033","135","1,350","5,402","6,752","6,752","13,503","20,255","33,758","33,758","67,517","67,517"
"2011","136,586","137","1,366","5,463","6,829","6,829","13,659","20,488","34,146","34,146","68,293","68,293"
"2012","136,080","136","1,361","5,443","6,804","6,804","13,608","20,412","34,020","34,020","68,040","68,040"
"2013","138,313","138","1,383","5,533","6,916","6,916","13,831","20,747","34,578","34,578","69,157","69,157"
"2014","139,562","140","1,396","5,582","6,978","6,978","13,956","20,934","34,891","34,891","69,781","69,781"
"2015","141,205","141","1,412","5,648","7,060","7,060","14,120","21,181","35,301","35,301","70,602","70,602"
"2016","140,889","141","1,409","5,636","7,044","7,044","14,089","21,133","35,222","35,222","70,444","70,444"
"2017","143,295","143","1,433","5,732","7,165","7,165","14,330","21,494","35,824","35,824","71,648","71,648"
"2018","144,318","144","1,443","5,773","7,216","7,216","14,432","21,648","36,079","36,079","72,159","72,159"
"2019","148,246","148","1,482","5,930","7,412","7,412","14,825","22,237","37,061","37,061","74,123","74,123"
"2020","157,494","157","1,575","6,300","7,875","7,875","15,749","23,624","39,374","39,374","78,747","78,747"
"2021","153,590","154","1,536","6,144","7,679","7,679","15,359","23,038","38,397","38,397","76,795","76,795"