"Year","Total","Top 0.1%","Top 1%","Between 1% & 5%","Top 5%","Between 5% & 10%","Top 10%","Between 10% & 25%","Top 25%","Between 25% & 50%","Top 50%","Bottom 50%"
"1980","100%","","19.05%","17.79%","36.84%","12.44%","49.28%","23.74%","73.02%","19.93%","92.95%","7.05%"
"1981","100%","","17.58%","17.48%","35.06%","12.90%","47.96%","24.33%","72.29%","20.26%","92.55%","7.45%"
"1982","100%","","19.03%","17.10%","36.13%","12.45%","48.59%","23.91%","72.50%","20.15%","92.65%","7.35%"
"1983","100%","","20.32%","16.94%","37.26%","12.44%","49.71%","23.39%","73.10%","19.73%","92.83%","7.17%"
"1984","100%","","21.12%","16.86%","37.98%","12.58%","50.56%","22.92%","73.49%","19.16%","92.65%","7.35%"
"1985","100%","","21.81%","16.97%","38.78%","12.67%","51.46%","22.60%","74.06%","18.77%","92.83%","7.17%"
"1986","100%","","25.75%","16.82%","42.57%","12.12%","54.69%","21.33%","76.02%","17.52%","93.54%","6.46%"
"1987","100%","","24.81%","18.45%","43.26%","12.35%","55.61%","21.31%","76.92%","17.02%","93.93%","6.07%"
"1988","100%","","27.58%","18.04%","45.62%","11.66%","57.28%","20.57%","77.84%","16.44%","94.28%","5.72%"
"1989","100%","","25.24%","18.70%","43.94%","11.85%","55.78%","21.44%","77.22%","16.94%","94.17%","5.83%"
"1990","100%","","25.13%","18.51%","43.64%","11.73%","55.36%","21.66%","77.02%","17.16%","94.19%","5.81%"
"1991","100%","","24.82%","18.56%","43.38%","12.45%","55.82%","21.46%","77.29%","17.23%","94.52%","5.48%"
"1992","100%","","27.54%","18.34%","45.88%","12.12%","58.01%","20.47%","78.48%","16.46%","94.94%","5.06%"
"1993","100%","","29.01%","18.35%","47.36%","11.88%","59.24%","20.03%","79.27%","15.92%","95.19%","4.81%"
"1994","100%","","28.86%","18.66%","47.52%","11.93%","59.45%","20.10%","79.55%","15.68%","95.23%","4.77%"
"1995","100%","","30.26%","18.65%","48.91%","11.84%","60.75%","19.62%","80.36%","15.03%","95.39%","4.61%"
"1996","100%","","32.31%","18.66%","50.97%","11.54%","62.51%","18.80%","81.32%","14.36%","95.68%","4.32%"
"1997","100%","","33.17%","18.70%","51.87%","11.33%","63.20%","18.47%","81.67%","14.05%","95.72%","4.28%"
"1998","100%","","34.75%","19.09%","53.84%","11.20%","65.04%","17.65%","82.69%","13.10%","95.79%","4.21%"
"1999","100%","","36.18%","19.27%","55.45%","11.00%","66.45%","17.09%","83.54%","12.46%","96.00%","4.00%"
"2000","100%","","37.42%","19.05%","56.47%","10.86%","67.33%","16.68%","84.01%","12.08%","96.09%","3.91%"
"2001","100%","15.68%","33.22%","19.02%","52.24%","11.44%","63.68%","17.88%","81.56%","13.54%","95.10%","4.90%"
"2002","100%","15.09%","33.09%","19.77%","52.86%","11.77%","64.63%","18.04%","82.67%","13.12%","95.79%","4.21%"
"2003","100%","15.37%","33.69%","19.85%","53.54%","11.35%","64.89%","17.87%","82.76%","13.17%","95.93%","4.07%"
"2004","100%","17.12%","36.28%","20.07%","56.35%","10.96%","67.30%","16.52%","83.82%","12.31%","96.13%","3.87%"
"2005","100%","18.91%","38.78%","20.15%","58.93%","10.52%","69.46%","15.61%","85.07%","11.35%","96.41%","3.59%"
"2006","100%","19.24%","39.36%","20.13%","59.49%","10.59%","70.08%","15.41%","85.49%","11.10%","96.59%","3.41%"
"2007","100%","19.84%","39.81%","20.09%","59.90%","10.51%","70.41%","15.30%","85.71%","10.93%","96.64%","3.36%"
"2008","100%","18.20%","37.51%","20.55%","58.06%","11.14%","69.20%","16.37%","85.57%","11.33%","96.90%","3.10%"
"2009","100%","16.91%","36.34%","21.83%","58.17%","11.72%","69.89%","16.85%","86.74%","10.80%","97.54%","2.46%"
"2010","100%","17.88%","37.38%","21.69%","59.07%","11.55%","70.62%","16.49%","87.11%","10.53%","97.64%","2.36%"
"2011","100%","16.14%","35.06%","21.43%","56.49%","11.77%","68.26%","17.36%","85.62%","11.50%","97.11%","2.89%"
"2012","100%","18.60%","38.09%","20.86%","58.95%","11.22%","70.17%","16.25%","86.42%","10.80%","97.22%","2.78%"
"2013","100%","18.48%","37.80%","20.75%","58.55%","11.25%","69.80%","16.47%","86.27%","10.94%","97.22%","2.78%"
"2014","100%","19.85%","39.48%","20.49%","59.97%","10.91%","70.88%","15.90%","86.78%","10.47%","97.25%","2.75%"
"2015","100%","19.50%","39.04%","20.54%","59.58%","11.01%","70.59%","16.03%","86.62%","10.55%","97.17%","2.83%"
"2016","100.00%","18.12%","37.32%","20.91%","58.23%","11.24%","69.47%","16.50%","85.97%","10.99%","96.96%","3.04%"
"2017","100.00%","19.34%","38.47%","20.67%","59.14%","10.94%","70.08%","16.02%","86.10%","10.79%","96.89%","3.11%"
"2018","100.00%","20.22%","40.08%","20.22%","60.30%","11.06%","71.37%","15.60%","86.97%","10.09%","97.06%","2.94%"
"2019","100.00%","18.87%","38.77%","20.68%","59.44%","11.37%","70.81%","15.84%","86.65%","10.29%","96.94%","3.06%"
"2020","100.00%","22.06%","42.31%","20.43%","62.74%","10.93%","73.67%","14.84%","88.51%","9.17%","97.68%","2.32%"
"2021","100.00%","24.72%","45.78%","19.86%","65.64%","10.17%","75.81%","13.42%","89.23%","8.44%","97.66%","2.34%"